trial_id,title,condition,drug,phase,status
NCT21525,Phase 3 Study of mRNA-101 in Type 2 Diabetes,Asthma,Metformin,Phase 1,Terminated
NCT57256,Phase 2 Study of BACE Inhibitor in Cancer,Rheumatoid Arthritis,Monoclonal Antibody,Phase 3,Terminated
NCT56370,Phase 1 Study of mRNA-101 in Asthma,Rheumatoid Arthritis,IL-6 Inhibitor,Phase 1,Recruiting
NCT30399,Phase 1 Study of Metformin in Type 2 Diabetes,Rheumatoid Arthritis,mRNA-101,Phase 1,Recruiting
NCT19020,Phase 3 Study of IL-6 Inhibitor in Alzheimer's,Alzheimer's,BACE Inhibitor,Phase 2,Completed
NCT13709,Phase 2 Study of Metformin in Cancer,Asthma,IL-6 Inhibitor,Phase 3,Completed
NCT30834,Phase 3 Study of BACE Inhibitor in Asthma,Cancer,BACE Inhibitor,Phase 2,Recruiting
NCT57186,Phase 2 Study of Metformin in Rheumatoid Arthritis,Rheumatoid Arthritis,BACE Inhibitor,Phase 3,Recruiting
NCT43346,Phase 2 Study of BACE Inhibitor in Rheumatoid Arthritis,Cancer,Metformin,Phase 2,Withdrawn
NCT95409,Phase 2 Study of IL-6 Inhibitor in Rheumatoid Arthritis,Asthma,Metformin,Phase 3,Recruiting
NCT94384,Phase 1 Study of mRNA-101 in Alzheimer's,Rheumatoid Arthritis,Metformin,Phase 1,Recruiting
NCT85112,Phase 2 Study of Metformin in Type 2 Diabetes,Rheumatoid Arthritis,IL-6 Inhibitor,Phase 1,Recruiting
NCT81262,Phase 3 Study of Metformin in Asthma,Alzheimer's,BACE Inhibitor,Phase 3,Withdrawn
NCT31279,Phase 2 Study of Monoclonal Antibody in Type 2 Diabetes,Rheumatoid Arthritis,IL-6 Inhibitor,Phase 1,Recruiting
NCT45952,Phase 1 Study of Metformin in Type 2 Diabetes,Type 2 Diabetes,Monoclonal Antibody,Phase 2,Terminated
NCT23998,Phase 2 Study of Metformin in Type 2 Diabetes,Rheumatoid Arthritis,IL-6 Inhibitor,Phase 3,Withdrawn
NCT46880,Phase 3 Study of IL-6 Inhibitor in Asthma,Rheumatoid Arthritis,Metformin,Phase 3,Withdrawn
NCT77761,Phase 1 Study of IL-6 Inhibitor in Asthma,Rheumatoid Arthritis,Monoclonal Antibody,Phase 1,Completed
NCT35404,Phase 1 Study of BACE Inhibitor in Type 2 Diabetes,Type 2 Diabetes,mRNA-101,Phase 1,Terminated
NCT63801,Phase 2 Study of BACE Inhibitor in Rheumatoid Arthritis,Type 2 Diabetes,Monoclonal Antibody,Phase 1,Completed
NCT91044,Phase 2 Study of IL-6 Inhibitor in Alzheimer's,Rheumatoid Arthritis,IL-6 Inhibitor,Phase 1,Recruiting
NCT75295,Phase 1 Study of IL-6 Inhibitor in Cancer,Cancer,IL-6 Inhibitor,Phase 1,Completed
NCT40242,Phase 1 Study of IL-6 Inhibitor in Type 2 Diabetes,Alzheimer's,BACE Inhibitor,Phase 3,Withdrawn
NCT26012,Phase 3 Study of Metformin in Alzheimer's,Type 2 Diabetes,BACE Inhibitor,Phase 3,Recruiting
NCT38052,Phase 3 Study of BACE Inhibitor in Type 2 Diabetes,Type 2 Diabetes,Metformin,Phase 1,Terminated
NCT53830,Phase 2 Study of Monoclonal Antibody in Rheumatoid Arthritis,Alzheimer's,mRNA-101,Phase 3,Withdrawn
NCT33964,Phase 2 Study of Metformin in Asthma,Type 2 Diabetes,IL-6 Inhibitor,Phase 1,Terminated
NCT97789,Phase 1 Study of Metformin in Type 2 Diabetes,Cancer,mRNA-101,Phase 3,Withdrawn
NCT91341,Phase 2 Study of BACE Inhibitor in Type 2 Diabetes,Asthma,Metformin,Phase 3,Recruiting
NCT57177,Phase 3 Study of IL-6 Inhibitor in Rheumatoid Arthritis,Cancer,BACE Inhibitor,Phase 1,Recruiting
NCT20931,Phase 2 Study of IL-6 Inhibitor in Alzheimer's,Alzheimer's,Metformin,Phase 3,Recruiting
NCT12871,Phase 2 Study of mRNA-101 in Asthma,Alzheimer's,Metformin,Phase 1,Recruiting
NCT85808,Phase 1 Study of mRNA-101 in Rheumatoid Arthritis,Rheumatoid Arthritis,IL-6 Inhibitor,Phase 1,Terminated
NCT64177,Phase 1 Study of BACE Inhibitor in Alzheimer's,Cancer,Metformin,Phase 1,Completed
NCT42753,Phase 2 Study of mRNA-101 in Cancer,Alzheimer's,BACE Inhibitor,Phase 1,Completed
NCT11653,Phase 2 Study of IL-6 Inhibitor in Rheumatoid Arthritis,Asthma,mRNA-101,Phase 1,Terminated
NCT42685,Phase 3 Study of Metformin in Alzheimer's,Asthma,Monoclonal Antibody,Phase 2,Withdrawn
NCT56619,Phase 1 Study of mRNA-101 in Alzheimer's,Alzheimer's,IL-6 Inhibitor,Phase 1,Terminated
NCT26472,Phase 1 Study of Metformin in Alzheimer's,Type 2 Diabetes,IL-6 Inhibitor,Phase 3,Completed
NCT98420,Phase 3 Study of IL-6 Inhibitor in Asthma,Cancer,IL-6 Inhibitor,Phase 2,Withdrawn
NCT22740,Phase 1 Study of mRNA-101 in Cancer,Rheumatoid Arthritis,Metformin,Phase 2,Terminated
NCT14147,Phase 3 Study of Monoclonal Antibody in Asthma,Alzheimer's,Metformin,Phase 2,Terminated
NCT86835,Phase 1 Study of Metformin in Type 2 Diabetes,Type 2 Diabetes,Monoclonal Antibody,Phase 1,Withdrawn
NCT66941,Phase 2 Study of Monoclonal Antibody in Alzheimer's,Cancer,BACE Inhibitor,Phase 1,Terminated
NCT98665,Phase 1 Study of BACE Inhibitor in Alzheimer's,Cancer,BACE Inhibitor,Phase 3,Withdrawn
NCT44961,Phase 3 Study of Metformin in Alzheimer's,Cancer,BACE Inhibitor,Phase 1,Completed
NCT91867,Phase 2 Study of mRNA-101 in Alzheimer's,Rheumatoid Arthritis,BACE Inhibitor,Phase 2,Completed
NCT83383,Phase 3 Study of IL-6 Inhibitor in Rheumatoid Arthritis,Rheumatoid Arthritis,BACE Inhibitor,Phase 1,Recruiting
NCT46073,Phase 3 Study of Metformin in Asthma,Rheumatoid Arthritis,Metformin,Phase 1,Terminated
NCT97906,Phase 1 Study of Metformin in Rheumatoid Arthritis,Asthma,Monoclonal Antibody,Phase 1,Recruiting
NCT22444,Phase 1 Study of IL-6 Inhibitor in Rheumatoid Arthritis,Cancer,mRNA-101,Phase 3,Withdrawn
NCT19421,Phase 2 Study of Monoclonal Antibody in Type 2 Diabetes,Rheumatoid Arthritis,mRNA-101,Phase 3,Recruiting
NCT10581,Phase 1 Study of IL-6 Inhibitor in Cancer,Asthma,mRNA-101,Phase 2,Withdrawn
NCT15353,Phase 3 Study of BACE Inhibitor in Rheumatoid Arthritis,Rheumatoid Arthritis,Monoclonal Antibody,Phase 1,Recruiting
NCT71409,Phase 2 Study of mRNA-101 in Alzheimer's,Type 2 Diabetes,BACE Inhibitor,Phase 3,Completed
NCT88434,Phase 1 Study of BACE Inhibitor in Cancer,Rheumatoid Arthritis,Monoclonal Antibody,Phase 3,Recruiting
NCT89032,Phase 3 Study of BACE Inhibitor in Asthma,Type 2 Diabetes,Metformin,Phase 3,Terminated
NCT94658,Phase 2 Study of IL-6 Inhibitor in Type 2 Diabetes,Alzheimer's,IL-6 Inhibitor,Phase 1,Completed
NCT69899,Phase 1 Study of Monoclonal Antibody in Rheumatoid Arthritis,Rheumatoid Arthritis,IL-6 Inhibitor,Phase 3,Completed
NCT83521,Phase 1 Study of BACE Inhibitor in Type 2 Diabetes,Rheumatoid Arthritis,Monoclonal Antibody,Phase 1,Terminated
NCT49888,Phase 3 Study of Monoclonal Antibody in Type 2 Diabetes,Alzheimer's,Metformin,Phase 2,Recruiting
NCT39999,Phase 2 Study of Monoclonal Antibody in Alzheimer's,Rheumatoid Arthritis,Monoclonal Antibody,Phase 1,Withdrawn
NCT83929,Phase 3 Study of IL-6 Inhibitor in Type 2 Diabetes,Rheumatoid Arthritis,IL-6 Inhibitor,Phase 1,Completed
NCT90553,Phase 1 Study of IL-6 Inhibitor in Type 2 Diabetes,Asthma,IL-6 Inhibitor,Phase 1,Completed
NCT10599,Phase 1 Study of Metformin in Alzheimer's,Alzheimer's,BACE Inhibitor,Phase 1,Completed
NCT94648,Phase 1 Study of IL-6 Inhibitor in Type 2 Diabetes,Alzheimer's,Metformin,Phase 2,Withdrawn
NCT96059,Phase 3 Study of mRNA-101 in Cancer,Alzheimer's,Monoclonal Antibody,Phase 1,Completed
NCT62482,Phase 3 Study of IL-6 Inhibitor in Cancer,Alzheimer's,Metformin,Phase 3,Completed
NCT94868,Phase 3 Study of Monoclonal Antibody in Cancer,Cancer,Metformin,Phase 1,Recruiting
NCT74675,Phase 1 Study of mRNA-101 in Rheumatoid Arthritis,Asthma,IL-6 Inhibitor,Phase 3,Completed
NCT56096,Phase 3 Study of BACE Inhibitor in Alzheimer's,Asthma,IL-6 Inhibitor,Phase 3,Recruiting
NCT55982,Phase 2 Study of Monoclonal Antibody in Alzheimer's,Alzheimer's,mRNA-101,Phase 1,Withdrawn
NCT67553,Phase 2 Study of Metformin in Rheumatoid Arthritis,Rheumatoid Arthritis,IL-6 Inhibitor,Phase 1,Terminated
NCT83124,Phase 3 Study of BACE Inhibitor in Asthma,Type 2 Diabetes,Monoclonal Antibody,Phase 1,Terminated
NCT57408,Phase 1 Study of mRNA-101 in Cancer,Rheumatoid Arthritis,Metformin,Phase 1,Withdrawn
NCT80589,Phase 2 Study of IL-6 Inhibitor in Asthma,Cancer,Monoclonal Antibody,Phase 2,Withdrawn
NCT86981,Phase 1 Study of Monoclonal Antibody in Cancer,Type 2 Diabetes,Metformin,Phase 1,Recruiting
NCT90864,Phase 3 Study of mRNA-101 in Cancer,Rheumatoid Arthritis,IL-6 Inhibitor,Phase 2,Withdrawn
NCT14836,Phase 1 Study of Monoclonal Antibody in Cancer,Rheumatoid Arthritis,Metformin,Phase 2,Recruiting
NCT31792,Phase 3 Study of Metformin in Type 2 Diabetes,Cancer,BACE Inhibitor,Phase 2,Recruiting
NCT36362,Phase 2 Study of mRNA-101 in Type 2 Diabetes,Alzheimer's,BACE Inhibitor,Phase 3,Withdrawn
NCT87426,Phase 2 Study of IL-6 Inhibitor in Alzheimer's,Type 2 Diabetes,Monoclonal Antibody,Phase 2,Withdrawn
NCT27622,Phase 2 Study of Metformin in Asthma,Alzheimer's,IL-6 Inhibitor,Phase 1,Terminated
NCT32578,Phase 3 Study of IL-6 Inhibitor in Asthma,Cancer,BACE Inhibitor,Phase 3,Completed
NCT69614,Phase 1 Study of mRNA-101 in Alzheimer's,Asthma,IL-6 Inhibitor,Phase 3,Completed
NCT63511,Phase 1 Study of BACE Inhibitor in Type 2 Diabetes,Asthma,mRNA-101,Phase 3,Terminated
NCT69944,Phase 1 Study of Monoclonal Antibody in Type 2 Diabetes,Type 2 Diabetes,Monoclonal Antibody,Phase 1,Terminated
NCT49514,Phase 3 Study of BACE Inhibitor in Rheumatoid Arthritis,Type 2 Diabetes,Monoclonal Antibody,Phase 1,Withdrawn
NCT11140,Phase 3 Study of BACE Inhibitor in Type 2 Diabetes,Alzheimer's,mRNA-101,Phase 2,Withdrawn
NCT96233,Phase 3 Study of BACE Inhibitor in Cancer,Rheumatoid Arthritis,BACE Inhibitor,Phase 1,Terminated
NCT91015,Phase 2 Study of Monoclonal Antibody in Rheumatoid Arthritis,Cancer,mRNA-101,Phase 1,Recruiting
